,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,start_date,end_date,poll_date
0,RCPÂ Average,4/13 - 4/29,--,,47.4,42.1,Biden +5.3,2020-04-13,2020-04-29,2020-04-21 00:00:00
1,IBD/TIPPIBD/TIPP,4/26 - 4/29,948 RV,3.3,43.0,43.0,Tie,2020-04-26,2020-04-29,2020-04-27 12:00:00
2,EmersonEmerson,4/26 - 4/28,1200 RV,2.8,48.0,42.0,Biden +6,2020-04-26,2020-04-28,2020-04-27 00:00:00
3,Economist/YouGovYouGov,4/26 - 4/28,1222 RV,3.2,47.0,41.0,Biden +6,2020-04-26,2020-04-28,2020-04-27 00:00:00
4,USA Today/SuffolkUSA Today,4/21 - 4/25,1000 RV,3.0,50.0,40.0,Biden +10,2020-04-21,2020-04-25,2020-04-23 00:00:00
5,Economist/YouGovYouGov,4/19 - 4/21,1144 RV,3.4,48.0,42.0,Biden +6,2020-04-19,2020-04-21,2020-04-20 00:00:00
6,The Hill/HarrisXThe Hill,4/19 - 4/20,958 RV,3.2,42.0,40.0,Biden +2,2020-04-19,2020-04-20,2020-04-19 12:00:00
7,NBC News/Wall St. JrnlNBC/WSJ,4/13 - 4/15,900 RV,3.3,49.0,42.0,Biden +7,2020-04-13,2020-04-15,2020-04-14 00:00:00
8,Harvard-HarrisHarris,4/14 - 4/16,LV,,53.0,47.0,Biden +6,2020-04-14,2020-04-16,2020-04-15 00:00:00
9,Economist/YouGovYouGov,4/12 - 4/14,1166 RV,3.4,48.0,43.0,Biden +5,2020-04-12,2020-04-14,2020-04-13 00:00:00
10,MonmouthMonmouth,4/3 - 4/7,743 RV,3.6,48.0,44.0,Biden +4,2020-04-03,2020-04-07,2020-04-05 00:00:00
11,FOX NewsFOX News,4/4 - 4/7,1107 RV,3.0,42.0,42.0,Tie,2020-04-04,2020-04-07,2020-04-05 12:00:00
12,Economist/YouGovYouGov,4/5 - 4/7,1147 RV,3.3,48.0,42.0,Biden +6,2020-04-05,2020-04-07,2020-04-06 00:00:00
13,CNBCCNBC,4/3 - 4/6,604 RV,4.0,44.0,39.0,Biden +5,2020-04-03,2020-04-06,2020-04-04 12:00:00
14,CNNCNN,4/3 - 4/6,875 RV,3.9,53.0,42.0,Biden +11,2020-04-03,2020-04-06,2020-04-04 12:00:00
15,QuinnipiacQuinnipiac,4/2 - 4/6,2077 RV,2.2,49.0,41.0,Biden +8,2020-04-02,2020-04-06,2020-04-04 00:00:00
16,IBD/TIPPIBD/TIPP,3/29 - 4/1,980 RV,3.2,47.0,41.0,Biden +6,2020-03-29,2020-04-01,2020-03-30 12:00:00
17,Economist/YouGovYouGov,3/29 - 3/31,1194 RV,3.2,46.0,42.0,Biden +4,2020-03-29,2020-03-31,2020-03-30 00:00:00
18,Grinnell/SelzerSelzer,3/27 - 3/30,777 LV,3.5,47.0,43.0,Biden +4,2020-03-27,2020-03-30,2020-03-28 12:00:00
19,Harvard-HarrisHarris,3/24 - 3/26,2410 RV,2.0,55.0,45.0,Biden +10,2020-03-24,2020-03-26,2020-03-25 00:00:00
20,ABC News/Wash PostABC/WP,3/22 - 3/25,845 RV,3.5,49.0,47.0,Biden +2,2020-03-22,2020-03-25,2020-03-23 12:00:00
21,Economist/YouGovYouGov,3/22 - 3/24,1170 RV,3.4,46.0,42.0,Biden +4,2020-03-22,2020-03-24,2020-03-23 00:00:00
22,FOX NewsFOX News,3/21 - 3/24,1011 RV,3.0,49.0,40.0,Biden +9,2020-03-21,2020-03-24,2020-03-22 12:00:00
23,MonmouthMonmouth,3/18 - 3/22,754 RV,3.6,48.0,45.0,Biden +3,2020-03-18,2020-03-22,2020-03-20 00:00:00
24,EmersonEmerson,3/18 - 3/19,1100 RV,2.9,53.0,47.0,Biden +6,2020-03-18,2020-03-19,2020-03-18 12:00:00
25,Economist/YouGovYouGov,3/15 - 3/17,1129 RV,3.5,48.0,41.0,Biden +7,2020-03-15,2020-03-17,2020-03-16 00:00:00
26,NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,900 RV,3.3,52.0,43.0,Biden +9,2020-03-11,2020-03-13,2020-03-12 00:00:00
27,Economist/YouGovYouGov,3/8 - 3/10,1191 RV,2.9,47.0,43.0,Biden +4,2020-03-08,2020-03-10,2020-03-09 00:00:00
28,CNNCNN,3/4 - 3/7,1084 RV,3.5,53.0,43.0,Biden +10,2020-03-04,2020-03-07,2020-03-05 12:00:00
29,QuinnipiacQuinnipiac,3/5 - 3/8,1261 RV,2.8,52.0,41.0,Biden +11,2020-03-05,2020-03-08,2020-03-06 12:00:00
30,Harvard-HarrisHarris,2/26 - 2/28,2592 RV,,55.0,45.0,Biden +10,2020-02-26,2020-02-28,2020-02-27 00:00:00
31,IBD/TIPPIBD/TIPP,2/20 - 2/29,839 RV,3.5,49.0,46.0,Biden +3,2020-02-20,2020-02-29,2020-02-24 12:00:00
32,FOX NewsFOX News,2/23 - 2/26,1000 RV,3.0,49.0,41.0,Biden +8,2020-02-23,2020-02-26,2020-02-24 12:00:00
33,CBS News/YouGovCBS News,2/20 - 2/22,10000 RV,1.2,47.0,45.0,Biden +2,2020-02-20,2020-02-22,2020-02-21 00:00:00
34,ABC News/Wash PostABC/WP,2/14 - 2/17,913 RV,4.0,52.0,45.0,Biden +7,2020-02-14,2020-02-17,2020-02-15 12:00:00
35,EmersonEmerson,2/16 - 2/18,1250 RV,2.7,48.0,52.0,Trump +4,2020-02-16,2020-02-18,2020-02-17 00:00:00
36,NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,900 RV,3.3,52.0,44.0,Biden +8,2020-02-14,2020-02-17,2020-02-15 12:00:00
37,NPR/PBS/MaristNPR/PBS,2/13 - 2/16,1164 RV,3.7,50.0,44.0,Biden +6,2020-02-13,2020-02-16,2020-02-14 12:00:00
38,QuinnipiacQuinnipiac,2/5 - 2/9,1519 RV,2.5,50.0,43.0,Biden +7,2020-02-05,2020-02-09,2020-02-07 00:00:00
39,NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,1000 RV,3.1,50.0,44.0,Biden +6,2020-01-26,2020-01-29,2020-01-27 12:00:00
